Association Rule,min_support,min_confidence,Kulc,IR
deep convolutional neural networks => deep learning,0.137931,0.857143,0.568106,0.644444
robust => neural network,0.436782,0.808511,0.654255,0.341176
scalability => neural network,0.149425,0.866667,0.518860,0.782051
outperforms => neural network,0.551724,0.872727,0.752153,0.253012
random forest => neural network,0.183908,0.888889,0.549708,0.743590
deep convolutional neural networks => neural network,0.160920,1.000000,0.592105,0.815789
efficiency => neural network,0.402299,0.875000,0.667763,0.444444
recommendation => neural network,0.275862,0.857143,0.586466,0.600000
effectiveness => neural network,0.436782,0.808511,0.654255,0.341176
social network => outperforms,0.241379,0.840000,0.610909,0.508475
Natural Language Processing => neural network,0.160920,1.000000,0.592105,0.815789
Multi Task Learning => neural network,0.114943,0.833333,0.482456,0.820513
Wikipedia => neural network,0.114943,0.909091,0.520335,0.844156
Informatics => neural network,0.149425,0.928571,0.549812,0.805195
social network => neural network,0.229885,0.800000,0.531579,0.629630
feature extraction => neural network,0.195402,0.850000,0.536842,0.708861
prediction accuracy => neural network,0.149425,0.866667,0.518860,0.782051
gradient descent => neural network,0.344828,0.857143,0.625940,0.506173
decision tree => neural network,0.172414,1.000000,0.598684,0.802632
confidence => neural network,0.126437,0.916667,0.530702,0.831169
social network | gradient descent => deep learning,0.137931,0.923077,0.601073,0.681818
effectiveness | social network => outperforms,0.137931,0.857143,0.537662,0.719298
effectiveness | efficiency => outperforms,0.229885,0.800000,0.581818,0.500000
robust | matrix factorization => deep learning,0.160920,0.875000,0.600291,0.600000
deep learning | matrix factorization => robust,0.160920,0.823529,0.560701,0.600000
robust | social network => deep learning,0.137931,0.857143,0.568106,0.644444
effectiveness | recommendation => outperforms,0.172414,0.882353,0.577540,0.666667
effectiveness | outperforms => neural network,0.310345,0.843750,0.599507,0.543210
deep learning | Natural Language Processing => neural network,0.126437,1.000000,0.572368,0.855263
decision tree | outperforms => neural network,0.103448,1.000000,0.559211,0.881579
recommendation | outperforms => neural network,0.206897,0.818182,0.527512,0.675000
efficiency | matrix factorization => robust,0.103448,0.818182,0.504836,0.734694
outperforms | Natural Language Processing => neural network,0.126437,1.000000,0.572368,0.855263
deep convolutional neural networks | outperforms => neural network,0.114943,1.000000,0.565789,0.868421
efficiency | feature extraction => neural network,0.114943,0.909091,0.520335,0.844156
effectiveness | gradient descent => neural network,0.183908,0.800000,0.505263,0.700000
feature extraction | outperforms => neural network,0.137931,0.857143,0.507519,0.794872
effectiveness | matrix factorization => robust,0.160920,0.933333,0.615603,0.666667
robust | matrix factorization => effectiveness,0.160920,0.875000,0.586436,0.632653
confidence | neural network => outperforms,0.103448,0.818182,0.490909,0.771930
confidence | outperforms => neural network,0.103448,1.000000,0.559211,0.881579
matrix factorization | recommendation => outperforms,0.114943,0.909091,0.545455,0.785714
deep learning | Natural Language Processing => outperforms,0.103448,0.818182,0.490909,0.771930
outperforms | Natural Language Processing => deep learning,0.103448,0.818182,0.513742,0.711111
effectiveness | scalability => robust,0.103448,0.900000,0.545745,0.770833
robust | scalability => effectiveness,0.103448,0.900000,0.545745,0.770833
efficiency | outperforms => neural network,0.310345,0.870968,0.613115,0.562500
robust | gradient descent => deep learning,0.218391,0.863636,0.652748,0.456522
effectiveness | efficiency => neural network,0.241379,0.840000,0.558158,0.637500
efficiency | recommendation => neural network,0.126437,0.846154,0.495445,0.807692
