Problem,Method,Dataset,Metric,Count
recommendation,feature extraction,realworld data,outperforms,2
recommendation,feature extraction,realworld data,effectiveness,2
recommendation,topic models,Knowledge Bases,outperforms,2
recommendation,topic models,Knowledge Bases,confidence,2
recommendation,topic models,Knowledge Bases,effectiveness,3
recommendation,topic models,Wikipedia,outperforms,2
recommendation,topic models,Wikipedia,confidence,2
recommendation,topic models,Wikipedia,effectiveness,2
recommendation,topic models,Tweets,outperforms,4
recommendation,topic models,Tweets,scalability,2
recommendation,topic models,Tweets,robust,3
recommendation,topic models,Tweets,confidence,2
recommendation,topic models,Tweets,effectiveness,5
recommendation,matrix factorization,Yahoo,outperforms,5
recommendation,matrix factorization,Yahoo,prediction accuracy,3
recommendation,matrix factorization,Yahoo,efficiency,4
recommendation,matrix factorization,Yahoo,robust,4
recommendation,matrix factorization,Yahoo,confidence,4
recommendation,matrix factorization,Yahoo,effectiveness,4
recommendation,matrix factorization,scientific articles,outperforms,4
recommendation,matrix factorization,scientific articles,prediction accuracy,2
recommendation,matrix factorization,scientific articles,efficiency,2
recommendation,matrix factorization,scientific articles,rating matrix,2
recommendation,matrix factorization,scientific articles,robust,4
recommendation,matrix factorization,scientific articles,effectiveness,3
recommendation,matrix factorization,Netflix,outperforms,3
recommendation,matrix factorization,Netflix,prediction accuracy,2
recommendation,matrix factorization,Netflix,scalability,2
recommendation,matrix factorization,Netflix,rating matrix,2
recommendation,matrix factorization,Netflix,robust,2
recommendation,matrix factorization,Netflix,confidence,2
recommendation,matrix factorization,LinkedIn,outperforms,4
recommendation,matrix factorization,LinkedIn,scalability,4
recommendation,matrix factorization,LinkedIn,efficiency,5
recommendation,matrix factorization,LinkedIn,robust,3
recommendation,matrix factorization,LinkedIn,confidence,3
recommendation,matrix factorization,LinkedIn,effectiveness,5
recommendation,matrix factorization,Knowledge Bases,outperforms,2
recommendation,matrix factorization,Knowledge Bases,efficiency,2
recommendation,matrix factorization,Knowledge Bases,effectiveness,3
recommendation,matrix factorization,realworld data,outperforms,4
recommendation,matrix factorization,realworld data,efficiency,2
recommendation,matrix factorization,realworld data,robust,2
recommendation,matrix factorization,realworld data,effectiveness,3
recommendation,matrix factorization,Wikipedia,F1,2
recommendation,matrix factorization,Wikipedia,outperforms,6
recommendation,matrix factorization,Wikipedia,prediction accuracy,2
recommendation,matrix factorization,Wikipedia,scalability,2
recommendation,matrix factorization,Wikipedia,efficiency,6
recommendation,matrix factorization,Wikipedia,rating matrix,2
recommendation,matrix factorization,Wikipedia,robust,5
recommendation,matrix factorization,Wikipedia,confidence,3
recommendation,matrix factorization,Wikipedia,effectiveness,8
recommendation,matrix factorization,data streams,outperforms,2
recommendation,matrix factorization,data streams,prediction accuracy,2
recommendation,matrix factorization,data streams,scalability,3
recommendation,matrix factorization,data streams,efficiency,2
recommendation,matrix factorization,data streams,robust,3
recommendation,matrix factorization,data streams,effectiveness,3
recommendation,matrix factorization,Tweets,outperforms,6
recommendation,matrix factorization,Tweets,prediction accuracy,2
recommendation,matrix factorization,Tweets,scalability,3
recommendation,matrix factorization,Tweets,efficiency,2
recommendation,matrix factorization,Tweets,robust,3
recommendation,matrix factorization,Tweets,effectiveness,6
recommendation,deep learning,Yahoo,outperforms,2
recommendation,deep learning,Yahoo,robust,2
recommendation,deep learning,Yahoo,effectiveness,2
recommendation,deep learning,scientific articles,outperforms,2
recommendation,deep learning,scientific articles,effectiveness,2
recommendation,deep learning,realworld data,outperforms,2
recommendation,deep learning,realworld data,effectiveness,2
recommendation,deep learning,Wikipedia,outperforms,2
recommendation,deep learning,Wikipedia,efficiency,2
recommendation,deep learning,Wikipedia,robust,2
recommendation,deep learning,Wikipedia,confidence,2
recommendation,deep learning,Wikipedia,effectiveness,2
recommendation,deep learning,Tweets,outperforms,3
recommendation,deep learning,Tweets,robust,3
recommendation,deep learning,Tweets,effectiveness,2
recommendation,deep learning,electronic medical records,outperforms,2
recommendation,deep learning,electronic medical records,robust,2
recommendation,deep learning,electronic medical records,effectiveness,2
recommendation,supervised model,Tweets,outperforms,2
recommendation,supervised model,Tweets,effectiveness,2
recommendation,decision tree,Wikipedia,outperforms,2
recommendation,decision tree,Wikipedia,effectiveness,2
recommendation,decision tree,relational database,scalability,2
recommendation,decision tree,relational database,effectiveness,2
recommendation,decision tree,Tweets,outperforms,2
recommendation,gradient descent,Yahoo,outperforms,4
recommendation,gradient descent,Yahoo,efficiency,3
recommendation,gradient descent,Yahoo,robust,2
recommendation,gradient descent,Yahoo,confidence,4
recommendation,gradient descent,Yahoo,effectiveness,2
recommendation,gradient descent,Netflix,outperforms,4
recommendation,gradient descent,Netflix,rating matrix,2
recommendation,gradient descent,Netflix,robust,3
recommendation,gradient descent,Netflix,confidence,2
recommendation,gradient descent,LinkedIn,outperforms,2
recommendation,gradient descent,LinkedIn,efficiency,4
recommendation,gradient descent,LinkedIn,robust,2
recommendation,gradient descent,LinkedIn,confidence,2
recommendation,gradient descent,LinkedIn,effectiveness,4
recommendation,gradient descent,realworld data,outperforms,3
recommendation,gradient descent,realworld data,robust,2
recommendation,gradient descent,realworld data,effectiveness,3
recommendation,gradient descent,Wikipedia,robust,2
recommendation,gradient descent,Tweets,outperforms,3
recommendation,gradient descent,Tweets,false positives,2
recommendation,gradient descent,Tweets,robust,4
recommendation,gradient descent,Tweets,effectiveness,2
recommendation,gradient descent,electronic medical records,outperforms,2
recommendation,gradient descent,electronic medical records,robust,2
recommendation,gradient descent,electronic medical records,effectiveness,2
recommendation,deep convolutional neural networks,scientific articles,outperforms,2
recommendation,deep convolutional neural networks,scientific articles,effectiveness,2
recommendation,deep convolutional neural networks,realworld data,outperforms,2
recommendation,deep convolutional neural networks,realworld data,effectiveness,2
recommendation,taxonomy,Yahoo,confidence,2
recommendation,taxonomy,Yahoo,effectiveness,2
recommendation,taxonomy,scientific articles,rating matrix,2
recommendation,taxonomy,LinkedIn,scalability,2
recommendation,taxonomy,Wikipedia,outperforms,2
recommendation,taxonomy,Wikipedia,effectiveness,2
recommendation,neural network,Yahoo,outperforms,2
recommendation,neural network,Yahoo,effectiveness,2
recommendation,neural network,scientific articles,outperforms,2
recommendation,neural network,scientific articles,effectiveness,2
recommendation,neural network,realworld data,outperforms,2
recommendation,neural network,realworld data,effectiveness,2
recommendation,neural network,Wikipedia,outperforms,2
